,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
responden 151,4,3,3,4,3,4,1,2
responden 152,3,2,3,3,3,2,1,2
responden 153,4,3,3,4,3,4,3,4
responden 154,4,1,1,4,4,4,1,3
responden 155,3,3,3,3,1,2,1,3
responden 156,4,4,4,4,4,3,0,4
responden 157,4,4,2,4,3,4,2,4
responden 158,4,3,2,3,4,3,1,3
responden 159,3,1,1,4,2,2,1,2
responden 160,3,2,3,3,3,3,1,3
responden 161,4,3,2,4,3,3,2,3
responden 162,3,3,3,3,1,4,1,3
responden 163,4,3,4,4,4,4,1,4
responden 164,3,1,1,3,1,2,1,3
responden 165,4,3,3,4,3,3,1,3
responden 166,3,3,2,3,3,3,1,3
responden 167,4,1,1,4,4,4,1,3
responden 168,4,2,2,4,3,3,3,3
responden 169,3,2,3,4,3,3,2,3
responden 170,4,3,4,3,1,3,2,2
responden 171,3,2,3,4,3,3,2,3
responden 172,3,3,3,4,2,3,2,3
responden 173,4,2,2,3,2,4,0,3
responden 174,3,3,2,4,2,2,1,2
responden 175,4,3,4,4,4,4,1,3
responden 176,3,3,3,4,2,3,1,2
responden 177,3,3,3,4,2,3,1,3
responden 178,3,3,2,4,3,2,1,3
responden 179,3,3,3,3,2,3,1,2
responden 180,4,4,1,3,2,3,1,3
responden 181,3,4,2,4,2,2,0,2
responden 182,4,1,1,3,3,3,1,3
responden 183,4,3,3,4,4,4,0,3
responden 184,3,3,3,3,3,3,1,2
responden 185,4,3,3,3,3,3,1,4
responden 186,3,3,1,4,2,3,2,3
responden 187,3,1,1,3,2,2,3,4
responden 188,3,3,2,4,4,4,2,2
responden 189,3,1,2,4,3,4,1,3
responden 190,3,1,3,4,1,4,1,4
responden 191,3,3,2,3,1,3,1,3
responden 192,4,3,1,3,3,3,1,3
responden 193,4,3,3,4,1,4,1,2
responden 194,3,3,1,4,3,4,0,3
responden 195,3,3,3,4,4,4,3,2
responden 196,3,1,1,4,2,3,1,3
responden 197,3,2,2,4,4,3,1,1
responden 198,4,4,4,4,4,4,0,4
responden 199,4,4,4,4,1,4,1,4
responden 200,3,1,1,3,1,3,1,3
responden 201,3,2,3,4,3,3,0,3
responden 202,4,1,0,1,1,4,0,3
responden 203,4,3,1,4,2,2,2,3
responden 204,3,1,1,4,4,4,1,3
responden 205,1,2,1,1,1,1,3,1
responden 206,4,4,3,3,2,4,0,3
responden 207,4,3,3,4,1,2,3,4
responden 208,4,2,1,4,3,4,0,3
responden 209,3,1,1,3,3,3,1,4
responden 210,4,4,1,4,3,3,1,3
responden 211,4,3,4,4,4,3,1,4
responden 212,3,3,1,3,2,3,1,2
responden 213,4,3,2,4,2,2,3,4
responden 214,3,4,2,4,1,3,1,1
responden 215,4,0,0,4,0,4,0,4
responden 216,3,3,1,3,3,3,1,3
responden 217,3,3,1,4,1,3,1,3
responden 218,4,2,3,4,2,3,1,1
responden 219,4,3,2,4,3,4,2,3
responden 220,3,1,4,2,2,2,1,2
responden 221,3,3,2,3,3,3,1,2
responden 222,3,3,3,4,2,4,0,3
responden 223,4,3,2,4,2,3,3,3
responden 224,4,3,2,4,4,4,0,4
responden 225,4,1,1,4,2,4,2,3
responden 226,3,2,1,4,3,4,1,2
responden 227,4,1,3,3,3,4,1,3
responden 228,4,3,1,4,3,4,1,4
responden 229,4,3,3,4,4,4,1,4
responden 230,3,3,1,3,2,3,3,4
responden 231,3,1,3,3,3,4,1,3
responden 232,3,3,1,4,3,3,2,2
responden 233,3,4,4,4,1,3,1,4
responden 234,3,3,2,3,2,3,1,3
responden 235,4,3,4,3,4,3,0,3
responden 236,4,4,4,3,3,4,0,4
responden 237,3,2,1,3,3,3,1,3
responden 238,3,2,3,4,4,3,1,3
responden 239,3,2,1,4,3,3,2,3
responden 240,4,3,2,3,2,3,1,2
responden 241,3,1,1,4,3,4,1,3
responden 242,4,1,1,4,3,3,1,3
responden 243,2,1,0,4,2,1,2,2
responden 244,3,3,1,3,2,2,3,2
responden 245,4,3,1,4,2,4,0,3
responden 246,4,3,4,4,4,4,1,2
responden 247,4,3,1,4,3,4,0,2
responden 248,4,3,3,4,3,4,0,3
responden 249,3,2,1,4,3,3,1,2
responden 250,2,1,1,4,3,3,1,2
responden 251,3,1,0,2,2,4,1,4
responden 252,3,1,2,4,3,2,1,2
responden 253,4,3,2,4,1,4,3,3
responden 254,4,3,2,4,1,4,3,3
responden 255,3,1,3,3,2,2,2,3
responden 256,3,3,2,3,1,3,1,2
responden 257,4,3,3,3,3,4,1,3
responden 258,4,1,1,4,3,3,1,2
responden 259,3,2,2,4,2,3,2,2
responden 260,3,2,2,4,3,4,1,2
responden 261,4,2,3,3,3,3,3,3
responden 262,2,2,1,4,4,2,2,2
responden 263,4,3,4,4,3,3,1,1
responden 264,3,3,2,3,2,2,2,2
